id,host_id,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms_text,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,instant_bookable,reviews_per_month
44082068,70048441,100.0,f,2.0,t,t,Bispebjerg,Entire rental unit,Entire home/apt,2,1 bath,1.0,1320.4675313807531,3,30,0,5,4.8,f,0.17
984611489289033952,512489323,100.0,f,1.0,t,t,Nørrebro,Entire rental unit,Entire home/apt,3,1 bath,1.0,979.0,3,40,183,0,4.818525443935496,f,0.7332381191537447
39378364,47446608,100.0,f,1.0,t,t,Indre By,Entire rental unit,Entire home/apt,6,1 bath,3.0,1320.4675313807531,2,30,0,2,5.0,f,0.38
817851642136235189,125343406,99.0,f,140.0,t,t,Vesterbro-Kongens Enghave,Entire rental unit,Entire home/apt,4,1 bath,2.0,3213.0,1,1125,0,17,4.71,t,1.63
44096769,94579995,100.0,f,2.0,t,t,Amager Vest,Entire rental unit,Entire home/apt,4,1 bath,1.0,1320.4675313807531,3,1125,0,1,5.0,f,0.06
864251130140999959,200002032,100.0,f,1.0,t,t,Amager st,Entire rental unit,Entire home/apt,4,1 bath,1.0,901.0,3,365,11,7,4.43,f,1.18
1002629918264433912,32562516,64.0,f,2.0,t,t,Bispebjerg,Entire condo,Entire home/apt,4,1 bath,2.0,640.0,1,365,15,3,5.0,f,2.31
4327159,22469712,80.0,f,1.0,t,t,Frederiksberg,Entire condo,Entire home/apt,4,1.5 baths,3.0,1200.0,5,1125,8,31,4.74,f,0.28
43447823,24943487,71.55430761099366,f,139.0,t,t,Vesterbro-Kongens Enghave,Entire serviced apartment,Entire home/apt,4,1 bath,2.0,1355.0,3,1125,238,9,4.89,f,0.21
38535038,293914239,12.0,f,1.0,t,f,Frederiksberg,Entire rental unit,Entire home/apt,2,1 bath,1.0,1050.0,3,1125,8,12,4.92,f,0.23
45870613,1580122,83.0,f,2.0,t,t,Nørrebro,Entire rental unit,Entire home/apt,5,1.5 baths,3.0,1400.0,3,29,156,7,5.0,f,0.36
29671970,3680712,43.0,f,3.0,t,t,Bispebjerg,Entire rental unit,Entire home/apt,2,1 bath,1.0,549.0,30,30,173,11,4.82,f,0.19
135777,665428,71.55430761099366,f,1.0,t,f,Nørrebro,Entire rental unit,Entire home/apt,3,1 bath,1.0,1320.4675313807531,5,365,0,6,5.0,f,0.04
538818169451418330,415587858,91.0,f,2.0,t,t,Bispebjerg,Entire condo,Entire home/apt,2,1 bath,1.0,879.0,1,10,360,13,4.54,t,0.62
50525276,57994264,71.55430761099366,f,1.0,t,t,Østerbro,Entire condo,Entire home/apt,3,1 bath,1.0,1320.4675313807531,5,10,0,2,5.0,f,0.07
39683278,304996759,71.55430761099366,f,1.0,t,f,Nørrebro,Entire rental unit,Entire home/apt,2,1 bath,1.0,1320.4675313807531,5,180,0,27,4.19,f,0.53
745319414437919967,40773821,11.0,f,1.0,t,f,Nørrebro,Entire condo,Entire home/apt,2,1 bath,1.0,850.0,2,365,67,7,4.43,f,0.53
983211149123456014,270687748,71.55430761099366,f,1.0,t,t,Bispebjerg,Entire condo,Entire home/apt,3,1 bath,2.0,1384.0,2,365,115,0,4.818525443935496,f,0.7332381191537447
909280444090132305,155348640,99.0,f,194.0,t,t,Valby,Entire rental unit,Entire home/apt,3,1 bath,3.0,7448.0,1,1125,0,0,4.818525443935496,t,0.7332381191537447
39669288,50845630,50.0,f,3.0,t,t,Amager st,Entire condo,Entire home/apt,2,1.5 baths,1.0,750.0,5,30,0,3,4.67,f,0.06
907739008882134179,42390570,100.0,f,2.0,t,t,Amager st,Entire home,Entire home/apt,6,2.5 baths,5.0,2178.0,3,31,124,6,5.0,f,1.01
17606698,119667636,91.0,f,2.0,t,t,Frederiksberg,Entire rental unit,Entire home/apt,3,2 baths,3.0,1900.0,7,1125,82,40,4.8,f,0.49
907786801088042096,492385776,100.0,f,1.0,f,t,Bispebjerg,Entire rental unit,Entire home/apt,3,1 bath,1.0,913.0,2,14,23,5,4.8,t,1.03
992754937281234897,40132263,33.0,f,3.0,t,t,Frederiksberg,Entire rental unit,Entire home/apt,4,1 bath,2.0,1300.0,1,25,3,0,4.818525443935496,f,0.7332381191537447
44351836,134483980,71.0,f,1.0,t,t,Amager Vest,Entire rental unit,Entire home/apt,2,1 bath,1.0,1500.0,2,14,0,6,5.0,f,0.14
801473162098294494,429484148,97.0,f,4.0,t,t,Indre By,Entire rental unit,Entire home/apt,4,1 bath,2.0,3429.0,2,365,238,0,4.818525443935496,f,0.7332381191537447
